,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2019-09-13,0.03290447483257373,10353.931640625,10595.6376953125,9980.7763671875,10360.546875,106342179002,2019,9,3,37,0.06996936930037112,-0.1329433360917287,-1.6160846184020583
2019-09-20,0.15296982668694994,10345.4033203125,10422.1337890625,9851.6923828125,10181.6416015625,106818067599,2019,9,3,38,-1.7267937261999045,-2.174519664364616,3.1542888622565934
2019-09-27,-0.07703963040359439,10183.6484375,10188.09765625,7895.62939453125,8251.845703125,124184605399,2019,9,3,39,-18.95368128201791,-14.026919590213394,-21.54679061382868
2019-10-04,-0.09729774421304803,8251.2734375,8497.6923828125,7830.7587890625,8205.939453125,99530591522,2019,10,4,40,-0.5563149342772467,-20.74085281134813,-30.827081162302463
2019-10-11,0.25334900662201604,8210.1494140625,8721.7802734375,7905.76611328125,8321.7568359375,115571318246,2019,10,4,41,1.4113848082122349,-19.678401764506283,-19.785183976802735
2019-10-18,-0.18323965346326632,8315.6650390625,8470.98828125,7902.1640625,7973.20751953125,104749020005,2019,10,4,42,-4.188410251319052,-21.6903537607564,-23.393212417323117
2019-10-25,0.0602082091191458,7973.8037109375,8691.5400390625,7446.98876953125,8660.7001953125,128890855100,2019,10,4,43,8.622535837643275,4.954703552353945,-9.767208321081588
2019-11-01,0.1596258344158294,8667.5771484375,10021.744140625,8662.6220703125,9261.1044921875,215079296934,2019,11,4,44,6.932514500386033,12.858552577556125,-10.549273697572726
2019-11-08,-0.09336871938271954,9259.783203125,9505.0517578125,8775.5341796875,8804.880859375,164911079354,2019,11,4,45,-4.926233509160404,5.805553237882766,-15.015288617426382
2019-11-15,-0.04184619650548819,8809.46875,9103.826171875,8484.84375,8491.9921875,137169182210,2019,11,4,46,-3.553582119647325,6.5065993415815315,-16.595058834158948
2019-11-22,0.022802413219497338,8491.166015625,8727.7890625,6936.70654296875,7296.57763671875,155347972787,2019,11,4,47,-14.076962441638496,-15.750719085416042,-11.576416971108493
2019-11-29,-0.04322536843163628,7296.16455078125,7781.1796875,6617.1669921875,7761.24365234375,178008403482,2019,11,4,48,6.368273439408756,-16.195269593481054,-5.41919427167965
2019-12-06,-0.04433221107437497,7764.05712890625,7836.10205078125,7170.9228515625,7546.99658203125,126343222196,2019,12,4,49,-2.7604734487082006,-14.286215764116983,-9.31005638809883
2019-12-13,-0.012382485264909548,7547.265625,7634.6064453125,7164.7412109375,7269.6845703125,119387788970,2019,12,4,50,-3.6744684949110207,-14.393649807953269,-8.823587590005566
2019-12-20,-0.041127569811279255,7268.90283203125,7346.6025390625,6540.04931640625,7218.81640625,156970172075,2019,12,4,51,-0.6997300030077258,-1.0657219636426518,-16.64858217633376
2019-12-27,-0.09917403869077461,7220.59375,7656.17626953125,7112.73583984375,7290.08837890625,160394376449,2019,12,4,52,0.9873082877484451,-6.0706156711781585,-21.2827326907278
2020-01-03,-0.017738734824316846,7289.03125,7513.9482421875,6914.99609375,7344.88427734375,155332238006,2020,1,1,1,0.751649302305446,-2.67804950606062,-16.581673339471912
2020-01-10,0.18797506997171712,7345.37548828125,8396.73828125,7309.51416015625,8166.55419921875,174646031870,2020,1,1,2,11.186968927605134,12.33711889741176,-3.8322926010257774
